"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,1.8333333,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,1.6547619,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,1.6547619,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,1.6547619,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.0119047,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.0119047,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.0119047,,
"AUS","Australia","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.0119047,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.8928571,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.8928571,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.8928571,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.8928571,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.8928571,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.6207483,,
"AUT","Austria","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.6207483,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.7823129,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.7823129,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.7823129,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.9523809,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.9523809,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.8163266,,
"BEL","Belgium","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.8163266,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,1.5058106,,
"CAN","Canada","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,1.5058106,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,2.9682541,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,2.7868481,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,2.7868481,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,2.7868481,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.7868481,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.7868481,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.6961451,,
"CZE","Czech Republic","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.6961451,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.5606575,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,2.3463719,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,2.3463719,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,2.3463719,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,2.3463719,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.3463719,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.3917234,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.3917234,,
"DNK","Denmark","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.3917234,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.1853743,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.1853743,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.1853743,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.1853743,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2006","2006","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2007","2007","IDX","Index","0","Units",,,2.0833335,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2008","2008","IDX","Index","0","Units",,,2.0119047,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2009","2009","IDX","Index","0","Units",,,2.0119047,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2010","2010","IDX","Index","0","Units",,,2.0119047,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2011","2011","IDX","Index","0","Units",,,2.0119047,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2012","2012","IDX","Index","0","Units",,,2.0119047,,
"FIN","Finland","EPRC_V2","Version 2 (1998-2013)","2013","2013","IDX","Index","0","Units",,,2.0119047,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","1998","1998","IDX","Index","0","Units",,,2.6366215,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","1999","1999","IDX","Index","0","Units",,,2.6366215,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2000","2000","IDX","Index","0","Units",,,2.6366215,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2001","2001","IDX","Index","0","Units",,,2.6366215,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2002","2002","IDX","Index","0","Units",,,2.6366215,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2003","2003","IDX","Index","0","Units",,,2.7273242,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2004","2004","IDX","Index","0","Units",,,2.7273242,,
"FRA","France","EPRC_V2","Version 2 (1998-2013)","2005","2005","IDX","Index","0","Units",,,2.7273242,,
